NO;ACCREDITATION;DOI;TITLE;JOURNAL;PUBLISHER;DATE PUBLISH;
133;S4;DOI: 10.35593/apaji.v2i1.7;"BUDAYA SIRIâ; REJUVENANTING OF THE CREATIVE PROFESSION MENUJU PEACE GOVERNANCE FRAMEWORK";Accounting Profession Journal (APAJI);Program Studi Akuntansi Fakultas Ekonomi dan Bisnis Universitas Kristen Indonesia Paulus;2020-01-29;
134;S4;DOI: 10.29303/jseh.v6i1.74;"Social Accounting; Tendensi Kemaslahatan Publik dibalik Kenaikan Tarif BPJS Kesehatan di Indonesia";JURNAL SOSIAL EKONOMI DAN HUMANIORA;LPPM Universitas Mataram;2020-06-25;
135;S4;DOI: 10.24252/jiap.v6i1.14471;MENGUNGKAP KEBIJAKAN MANAJEMEN PUBLIK UNTUK MEWUJUDKAN GOOD CORPORATE GOVERNANCE DALAM PRESPEKTIF DIALOGIS DIGITAL (STUDI KASUS GRAB CABANG MAKASSAR);Jurnal Ilmiah Akuntansi Peradaban;Jurnal Ilmiah Akuntansi Peradaban;2020-06-29;
136;S4;DOI: 10.24252/jiap.v6i2.19938;GOVERNMENT BUDGET POLICY RELATED TO LOCKDOWN COVID19: A POLITICAL PRESSURE STUDY;Jurnal Ilmiah Akuntansi Peradaban;Universitas Islam Negeri Alauddin Makassar;2021-02-26;
137;S4;DOI: 10.24252/lamaisyir.v7i2.16035;PSAK 109: The Efforts to realize Zakat Governance in Baznas Province of South Sulawesi;LAA MAISYIR : Jurnal Ekonomi Islam;Universitas Islam Negeri Alauddin Makassar;2020-12-21;
138;-;DOI: 10.24252/isafir.v1i2.17603;CARBON TAX: ALTERNATIF KEBIJAKAN PENGURANGAN EXTERNAL DISECONOMIES EMISI KARBON;ISAFIR: Islamic Accounting and Finance Review;Universitas Islam Negeri Alauddin Makassar;2020-12-31;
139;-;DOI: 10.24252/isafir.v1i1.17610;SANKSI PAJAK SEBAGAI PEMODERASI FAKTOR-FAKTOR PENENTU PENDAPATAN ASLI DAERAH;ISAFIR: Islamic Accounting and Finance Review;Universitas Islam Negeri Alauddin Makassar;2020-12-31;
140;S4;;"Social Accounting; Tendensi Kemaslahatan Publik dibalik Kenaikan Tarif BPJS Kesehatan di Indonesia";JURNAL SOSIAL EKONOMI DAN HUMANIORA;Universitas Mataram;2020-06-25;
141;-;DOI: 10.53861/abdimas.v1i1.66;"Peluang Usaha ""Pembuatan Sabun Cuci Piring"" Untuk Meningkatkan Pendapatan Keluarga Di Kelurahan Paropo Kec. Panakukang Kota Makassar";Lontara Abdimas : Jurnal Pengabdian Kepada Masyarakat;Lembaga Penelitian Dan Pengabdian Masyarakat Politeknik Kesehatan Muhammadiyah Makassar;2020-11-18;
142;-;;Pelatihan Teknik Penulisan Artikel Ilmiah Internasional Bereputasi dan Nasional Terakreditasi Mahasiswa Program Pascasarjana Universitas Negeri Makassar;Seminar Nasional Pengabdian Kepada Masyarakat;Seminar Nasional Pengabdian Kepada Masyarakat;2020-11-10;
