NO;ACCREDITATION;DOI;TITLE;JOURNAL;PUBLISHER;DATE PUBLISH;
278;S4;DOI: 10.24252/ip.v9i1.13753;KORELASI ANTARA POLA PEMBINAAN AKHLAK DENGAN PERILAKU PESERTA DIDIK KELAS XI PONDOK PESANTREN DARUL AMAN GOMBARA MAKASSAR;Inspiratif Pendidikan;Universitas Islam Negeri Alauddin Makassar;2020-05-11;
279;-;;MARITIME CULTURE IMPLEMENTATION OF THE BAJAU SETTLEMENT â A CASE STUDY OF SAMA BAHARI VILLAGE, WAKATOBI ISLANDS;Plano Madani : Jurnal Perencanaan Wilayah dan Kota;Alauddin University Press;2020-09-16;
280;S1;DOI: 10.26858/ijole.v4i3.14658;Assessing Expression in the Poetry Reading Skills of Elementary Students;International Journal of Language Education;Universitas Negeri Makassar;2020-12-30;
281;S2;DOI: 10.24252/lp.2020v23n1i1;DESCRIPTION OF STRUCTURAL OFFICERS STIFIn TEST RESULTS OF UIN ALAUDDIN MAKASSAR;Lentera Pendidikan : Jurnal Ilmu Tarbiyah dan Keguruan;Faculty of Tarbiyah and Teacher Training Universitas Islam Negeri Alauddin Makassar;2020-06-30;
282;-;DOI: 10.24252/asma.v2i2.16050;PENGEMBANGAN BAHAN AJAR BERBASIS KONSTRUKTIVISME PADA MATERI SISTEM PERSAMAAN LINEAR DUA VARIABEL;Al Asma: Journal of Islamic Education;Faculty of Tarbiyah and Teacher Training;2020-11-23;
283;-;DOI: 10.24252/asma.v2i1.13314;EFEKTIVITAS PENERAPAN MODEL PEMBELAJARAN KOOPERATIF TIPE THINK PAIR SHARE DENGAN PENDEKATAN PROBLEM POSING TERHADAP KEMAMPUAN BERPIKIR KRITIS MATEMATIS;Al Asma: Journal of Islamic Education;Faculty of Tarbiyah and Teacher Training;2020-05-31;
284;S4;DOI: 10.56324/al-musannif.v2i2.47;The Influence of Self-Concept on Deviant Behaviuor in the Students of Ternate State Islamic Institute;Al-Musannif;Madrasah Tsanawiyah DDI Cilellang;2020-12-14;
285;S3;DOI: 10.15408/empati.v9i2.18219;KEHIDUPAN ANAK TERLANTAR DI LKSA YUDA MANDIRI SOMBA OPU;EMPATI: Jurnal Ilmu Kesejahteraan Sosial;Social Welfare Study Program;2021-01-17;
286;S5;DOI: 10.24252/jft.v7i2.17486;PENGARUH PENAMBAHAN CaCO3 SEBAGAI FILTER PADA SEMEN OPC (ORDINARY PORTLAND CEMENT) TERHADAP PERFORMA SETTING TIME DAN KUAT TEKAN (STUDI KASUS PT. SEMEN INDONESIA);JFT : Jurnal Fisika dan Terapannya;Universitas Islam Negeri Alauddin Makassar;2020-12-31;
287;S3;DOI: 10.24252/ad.v9i1.12484;LAW NUMBER 19 YEAR 2008 ON THE CONCERNING STATE SHARIA BONDS (SBSN / SUKUK) LEX SPECIALIST OF LAW NO. 1 OF 2004 ON STATE TREASURY MAQASHID AL-SHARIAH PERSPECTIVE;Al Daulah : Jurnal Hukum Pidana dan Ketatanegaraan;Jurusan Hukum Tatanegara Fakultas Syari'ah dan Hukum UIN Alauddin;2020-06-19;
288;S4;DOI: 10.24252/alami.v4i1.10221;HUBUNGAN KONFORMITAS DENGAN PROKRASTINASI AKADEMIK PADA MAHASISWA DI KOTA MAKASSAR;Alami Journal (Alauddin Islamic Medical) Journal;Universitas Islam Negeri Alauddin Makassar;2020-02-10;
289;S3;DOI: 10.14421/al-athfal.2020.62-01;Seven Student Motivations for Choosing the Department of Early Childhood Teacher Education in Higher Education;Al-Athfal: Jurnal Pendidikan Anak;Islamic Early Childhood Education Study Program, Faculty of Tarbiyah and Education, UIN Sunan Kalijaga Yogyakarta;2020-12-31;
290;S4;DOI: 10.34125/kp.v5i2.517;FACTORS AND SOLUTIONS OF STUDENTS BULLYING BEHAVIOR;JURNAL KEPEMIMPINAN DAN PENGURUSAN SEKOLAH;STKIP Pesisir Selatan;2020-09-30;
291;-;;Peluang Hidrogen sebagai Bahan Bakar Alternatif di Indonesia;Al-Hikmah Journal for Religious Studies;Universitas Islam Negeri Alauddin;2020-12-21;
292;-;;PENCEGAHAN PERNIKAHAN DINI OLEH ORGANISASI KEPEMIMPINAN PEREMPUAN MUDA;Siyasatuna: Jurnal Ilmiah Mahasiswa Siyasah Syar'iyyah;SIYASATUNA : JURNAL ILMIAH MAHASISWA SIYASAH SYAR'IYYAH;2020-05-02;
293;-;;PENGELOLAAN BUMDES DALAM MEWUJUDKAN KESEJAHTERAAN MASYARAKAT DESA KALEBENTANG KABUPATEN TAKALAR;Siyasatuna: Jurnal Ilmiah Mahasiswa Siyasah Syar'iyyah;SIYASATUNA : JURNAL ILMIAH MAHASISWA SIYASAH SYAR'IYYAH;2020-09-30;
294;S4;;PERKEMBANGAN TATA GUNA LAHAN DITINJAU DARI HISTORIS KELELAWAR SEBAGAI NILAI SIMBOL DI KECAMATAN LALABATA;Geodika: Jurnal Kajian Ilmu dan Pendidikan Geografi;Program Studi Pendidikan Geografi Universitas Hamzanwadi;2020-06-29;
295;S4;DOI: 10.24252/aldev.v2i2.15399;Analisis Hukum Pemberian Remisi Dalam Tindak Pidana Pencurian;Alauddin Law Development Journal (ALDEV);Law Department, Universitas Islam Negeri Alauddin Makassar;2020-08-16;
296;-;;KEPEMILIKAN TANAH ADAT DI KABUPATEN POLEWALI MANDAR DALAM PERSPEKTIF HUKUM ISLAM;Siyasatuna: Jurnal Ilmiah Mahasiswa Siyasah Syar'iyyah;SIYASATUNA : JURNAL ILMIAH MAHASISWA SIYASAH SYAR'IYYAH;2020-04-20;
